,0,1,2,3
410,[16691     5],2,2,1
411,[16715     3],1,0,2
412,[16716    11],2,5,4
413,[16719     1],0,0,1
414,[16723     1],0,0,1
415,[16736     1],0,0,1
416,[16737     1],0,0,1
417,[16740     1],0,0,1
418,[16741     1],0,0,1
419,[16759     3],0,1,2
420,[16760     1],0,0,1
421,[16761     3],0,1,2
422,[16762     1],0,0,1
423,[16763     1],0,0,1
424,[16768     1],0,0,1
425,[16773     1],0,0,1
426,[16774     1],0,1,0
427,[16776     4],1,1,2
428,[16777     5],0,3,2
429,[16781     1],0,0,1
430,[16785     2],0,1,1
431,[16787     1],0,0,1
432,[16789     1],0,0,1
433,[16790     3],1,1,1
434,[16797     1],0,0,1
435,[16799     2],0,1,1
436,[16800     2],1,0,1
437,[16801     6],0,0,6
438,[16804     3],1,0,2
439,[16805     1],0,0,1
440,[16812     1],0,0,1
441,[16819     7],0,2,5
442,[16825     2],0,0,2
443,[16827     4],1,1,2
444,[16836    21],5,9,7
445,[16848     2],0,0,2
446,[16851    10],3,3,4
447,[16861     1],0,0,1
448,[16862     1],0,0,1
449,[16863     1],0,0,1
450,[16864     1],0,0,1
451,[16865     1],0,0,1
452,[16873     4],0,0,4
453,[16885     5],3,0,2
454,[16888     2],0,0,2
455,[16890     3],0,0,3
456,[16903     2],1,0,1
457,[16918     2],0,0,2
458,[16920     3],0,1,2
459,[16936     2],0,0,2
460,[16938     2],0,0,2
461,[16943     4],1,0,3
462,[16962     3],0,1,2
463,[16973     3],0,2,1
464,[16976     2],0,0,2
465,[16979     3],1,1,1
466,[16980     3],1,1,1
467,[16988     4],0,1,3
468,[16989     3],0,3,0
469,[16990     1],0,0,1
470,[16991     1],1,0,0
471,[16993     3],0,1,2
472,[17015     3],1,0,2
473,[17020     4],1,1,2
474,[17022     3],2,0,1
475,[17024     1],0,0,1
476,[17034     2],0,0,2
477,[17035     5],0,0,5
478,[17036     1],0,0,1
479,[17041     3],1,1,1
480,[17046     3],0,1,2
481,[17050     3],1,0,2
482,[17053     3],1,0,2
483,[17057     3],1,1,1
484,[17058     1],0,0,1
485,[17067     1],0,0,1
486,[17069     1],0,0,1
487,[17075     1],0,1,0
488,[17081     3],0,0,3
489,[17085     1],0,0,1
490,[17088     2],0,0,2
491,[17105     4],2,0,2
492,[17149     3],1,1,1
493,[17159     2],0,0,2
494,[17177     3],1,1,1
495,[17214     3],0,0,3
496,[17231     1],0,0,1
497,[17257     3],0,0,3
498,[17282     1],0,0,1
499,[17305    42],6,21,15
500,[17329     1],0,0,1
501,[17347     1],0,0,1
502,[17437     3],0,1,2
503,[17442     1],0,0,1
504,[17488     1],0,0,1
505,[17535     2],0,0,2
506,[17555     4],1,0,3
507,[17571     3],0,1,2
508,[17578    42],6,10,26
509,[17596     1],0,0,1
510,[17611    42],6,18,18
511,[17614    42],2,7,33
512,[17616     3],0,0,3
513,[17618     4],1,0,3
514,[17639     1],0,0,1
515,[17640     1],0,0,1
516,[17647     1],0,0,1
517,[17650     1],0,0,1
518,[17664     1],0,0,1
519,[17667     1],0,0,1
520,[17674    43],11,12,20
521,[17686     1],0,0,1
522,[17695     1],0,0,1
523,[17718    43],15,18,10
524,[17723    46],6,4,36
525,[17725    43],8,14,21
526,[17727     1],0,0,1
527,[17729    42],6,7,29
528,[17737     1],0,0,1
529,[17742    42],1,6,35
530,[17743    42],2,8,32
531,[17744    42],4,5,33
532,[17751    42],3,5,34
533,[17752    42],1,9,32
534,[17753    42],5,4,33
535,[17760    42],0,6,36
536,[17761    42],4,7,31
537,[17765    44],10,5,29
538,[17771    46],7,18,21
539,[17773    42],8,5,29
540,[17774    42],4,10,28
541,[17775    42],21,11,10
542,[17777    42],25,6,11
543,[17779    42],14,17,11
544,[17783    42],4,4,34
545,[17785     4],0,0,4
546,[17791     1],0,0,1
547,[17795     2],2,0,0
548,[17811     3],0,2,1
549,[17829     3],1,0,2
550,[17840     2],0,2,0
551,[17842     2],0,0,2
552,[17843     2],0,1,1
553,[17854     6],1,0,5
554,[17880     3],0,0,3
555,[17882     3],0,1,2
556,[17895     2],0,0,2
557,[17896     2],0,0,2
558,[17898     2],0,0,2
559,[17900     2],0,1,1
560,[17901     2],0,1,1
561,[17908     2],0,0,2
562,[17927     1],0,1,0
563,[17954     4],1,0,3
564,[17987     2],0,0,2
565,[17993     2],0,0,2
566,[18007     2],0,0,2
567,[18008     1],0,0,1
568,[18010     4],1,0,3
569,[18011     1],0,0,1
570,[18013     2],0,0,2
571,[18017     2],0,0,2
572,[18020     2],0,0,2
573,[18031     3],1,0,2
574,[18046     2],0,0,2
575,[18052     2],0,0,2
576,[18056     1],0,0,1
577,[18060     4],1,0,3
578,[18063     1],0,0,1
579,[18068     1],0,0,1
580,[18080     3],0,1,2
581,[18081     3],1,0,2
582,[18086     2],0,0,2
583,[18089     2],1,0,1
584,[18090     1],0,0,1
585,[18092     2],0,0,2
586,[18093     1],0,0,1
587,[18101     3],1,0,2
588,[18102     1],0,0,1
589,[18106     4],1,0,3
590,[18112     2],0,0,2
591,[18115     5],1,0,4
592,[18116     4],0,2,2
593,[18117     1],0,0,1
594,[18118     1],0,0,1
595,[18123     2],0,1,1
596,[18130     3],1,0,2
597,[18131     4],1,2,1
598,[18141     1],0,0,1
599,[18142     2],0,0,2
600,[18150     2],0,2,0
601,[18151     3],0,2,1
602,[18152     4],1,1,2
603,[18156     1],0,0,1
604,[18157     1],0,0,1
605,[18165     1],0,0,1
606,[18169     2],0,0,2
607,[18178     1],0,0,1
608,[18179     1],0,1,0
609,[18181     3],0,1,2
610,[18182     2],0,0,2
611,[18188     1],0,0,1
612,[18189     1],0,0,1
613,[18190     1],0,0,1
614,[18192     1],0,1,0
615,[18197     1],0,0,1
616,[18202     2],0,0,2
617,[18204     2],0,0,2
618,[18206     4],3,1,0
619,[18208     1],0,0,1
620,[18215     2],0,0,2
621,[18217     1],0,0,1
622,[18218     1],0,0,1
623,[18223     1],1,0,0
624,[18232     1],0,0,1
625,[18236     1],0,0,1
626,[18237     1],0,0,1
627,[18238     1],0,0,1
628,[18240     6],2,3,1
629,[18241     1],0,0,1
630,[18244     1],0,0,1
631,[18247     2],1,0,1
632,[18251     3],1,0,2
633,[18255     1],0,0,1
634,[18261     1],0,0,1
635,[18264     1],0,0,1
636,[18266     1],0,0,1
637,[18271     1],0,0,1
638,[18273     2],0,1,1
639,[18274     2],0,1,1
640,[18280     1],0,0,1
641,[18283     1],0,0,1
642,[18284     1],0,0,1
643,[18285     1],0,0,1
644,[18291     1],0,0,1
645,[18294     1],0,0,1
646,[18302     4],0,3,1
647,[18304     1],0,0,1
648,[18309     6],1,4,1
649,[18310     3],2,1,0
650,[18311     3],2,1,0
651,[18317     2],1,0,1
652,[18325     2],0,0,2
653,[18327     3],2,1,0
654,[18328     2],0,0,2
655,[18329     1],0,0,1
656,[18330     2],0,0,2
657,[18331     1],0,0,1
658,[18341     4],0,2,2
659,[18355     1],0,0,1
660,[18389     3],1,0,2
661,[18390     2],1,0,1
662,[18392     3],1,0,2
663,[18393     3],0,1,2
664,[18425     2],0,0,2
665,[18426     2],0,0,2
666,[18427     2],0,0,2
667,[21031     1],0,1,0
668,[21032     1],1,0,0
