,0,1,2,3,4
326,[16076    17],3,7,7,1.1
327,[16085    17],2,8,7,1.1
328,[16090    17],4,6,7,1.1
329,[16091     3],2,0,1,2.1
330,[16195    11],2,4,5,2.1
331,[16196    36],11,12,13,2.1
332,[16197    66],23,7,36,2.1
333,[16198    25],5,12,8,2.1
334,[16203    33],12,6,15,2.1
335,[16204     2],0,0,2,2.1
336,[16205     4],0,0,4,2.1
337,[16206    17],7,5,5,2.1
338,[16211    25],9,3,13,2.1
339,[16212    30],17,4,9,2.1
340,[16216    72],18,21,33,2.1
341,[16217    31],12,7,12,2.1
342,[16225    30],7,10,13,2.1
343,[16226    25],4,6,15,2.1
344,[16229    30],11,10,9,2.1
345,[16230    30],8,6,16,2.1
346,[16231    25],7,7,11,2.1
347,[16233    25],7,3,15,2.1
348,[16235    42],2,13,27,2.1
349,[16236     2],0,0,2,2.1
350,[16237    30],5,11,14,2.1
351,[16238    29],9,8,12,2.1
352,[16240    27],3,7,17,2.1
353,[16244    25],5,6,14,2.1
354,[16246     3],0,0,3,2.1
355,[16248     1],0,0,1,2.1
356,[16250    17],8,2,7,2.1
357,[16258     1],0,0,1,1.2
358,[16273     3],1,1,1,1.2
359,[16274     3],2,0,1,1.2
360,[16276     3],2,0,1,1.2
361,[16284     2],0,0,2,1.2
362,[16287    17],6,2,9,1.2
363,[16288    17],5,6,6,1.2
364,[16300    12],2,2,8,1.2
365,[16301     2],0,1,1,1.2
366,[16302    17],3,9,5,1.2
367,[16303    27],10,8,9,1.2
368,[16305    27],7,9,11,1.2
369,[16306    10],2,2,6,1.2
370,[16308    10],2,2,6,1.2
371,[16309    10],2,1,7,1.2
372,[16311    10],3,1,6,1.2
373,[16312    10],4,2,4,1.2
374,[16330     2],0,0,2,1.2
375,[16331    12],3,5,4,1.2
376,[16342     2],0,0,2,1.2
377,[16350     1],0,0,1,1.2
378,[16418     1],0,0,1,1.2
379,[16438     2],0,0,2,1.2
380,[16440     4],0,0,4,1.2
381,[16441     4],0,0,4,1.2
382,[16442     4],0,0,4,1.2
383,[16443     4],0,0,4,1.2
384,[16448     5],0,0,5,1.2
385,[16452     5],0,0,5,1.2
386,[16494     4],0,0,4,1.2
387,[16495     3],1,0,2,1.2
388,[16499     1],0,0,1,1.2
389,[16504     1],0,0,1,1.1
390,[16543     1],1,0,0,1.1
391,[16548     1],0,0,1,1.1
392,[16556     2],0,1,1,1.1
393,[16559     2],0,0,2,1.1
394,[16568     1],0,0,1,1.1
395,[16569     1],0,0,1,1.1
396,[16570     1],0,0,1,1.1
397,[16601     6],0,0,6,1.1
398,[16605     6],0,0,6,1.1
399,[16626     2],0,0,2,1.1
400,[16628     4],1,1,2,2.1
401,[16632     2],0,0,2,2.1
402,[16641    17],7,5,5,2.1
403,[16656     3],0,1,2,2.1
404,[16657     3],0,1,2,2.1
405,[16658     3],0,1,2,2.1
406,[16675    13],4,5,4,2.1
407,[16676    18],6,4,8,2.1
408,[16680     1],0,0,1,2.1
409,[16688     7],2,5,0,2.1
410,[16691     5],2,2,1,2.1
411,[16715     3],1,0,2,2.1
412,[16716    11],2,5,4,2.1
413,[16719     1],0,0,1,2.1
414,[16723     1],0,0,1,2.1
415,[16736     1],0,0,1,2.1
416,[16737     1],0,0,1,2.1
417,[16740     1],0,0,1,2.1
418,[16741     1],0,0,1,2.1
419,[16759     3],0,1,2,2.1
420,[16760     1],0,0,1,2.1
421,[16761     3],0,1,2,2.1
422,[16762     1],0,0,1,2.1
423,[16763     1],0,0,1,2.1
424,[16768     1],0,0,1,2.1
425,[16773     1],0,0,1,2.1
426,[16774     1],0,1,0,2.1
427,[16776     4],1,1,2,2.1
428,[16777     5],0,3,2,2.1
429,[16781     1],0,0,1,2.1
430,[16785     2],0,1,1,1.2
431,[16787     1],0,0,1,1.2
432,[16789     1],0,0,1,1.2
433,[16790     3],1,1,1,1.2
434,[16797     1],0,0,1,1.2
435,[16799     2],0,1,1,3.1
436,[16800     2],1,0,1,3.1
437,[16801     6],0,0,6,3.1
438,[16804     3],1,0,2,3.1
439,[16805     1],0,0,1,3.1
440,[16812     1],0,0,1,3.1
441,[16819     7],0,2,5,3.1
442,[16825     2],0,0,2,3.1
443,[16827     4],1,1,2,3.1
444,[16836    21],5,9,7,3.1
445,[16848     2],0,0,2,3.1
446,[16851    10],3,3,4,3.1
447,[16861     1],0,0,1,1.1
448,[16862     1],0,0,1,1.1
449,[16863     1],0,0,1,1.1
450,[16864     1],0,0,1,1.1
451,[16865     1],0,0,1,1.1
452,[16873     4],0,0,4,1.1
453,[16885     5],3,0,2,1.1
454,[16888     2],0,0,2,1.1
455,[16890     3],0,0,3,1.1
456,[16903     2],1,0,1,1.1
457,[16918     2],0,0,2,1.1
458,[16920     3],0,1,2,2.1
459,[16936     2],0,0,2,2.1
460,[16938     2],0,0,2,2.1
461,[16943     4],1,0,3,2.1
